,Date,Team,Opponent,W/L,Margin,POSS,OPP_POSS,PPP,OPP_PPP,3PA%,OPP_3PA%,FTA%,OPP_FTA%,ORB%,DRB%,REB%,REB,TO%,OPP_TO%,FGA,FG%,OPP_FGA,OPP_FG%,3PA,3P%,OPP_3PA,OPP_3P%,FTA,FT%,OPP_FTA,OPP_FT%
27,2023-05-28,CHI,DAL,W,6,83.5,84.0,1.13,1.06,25.3,36.7,33.3,21.5,39.5,76.3,57.9,44-32,19.3,12.0,34-75,45.3,32-79,40.5,6-19,31.6,9-29,31.0,20-25,80.0,15-17,88.2
28,2023-05-30,CHI,ATL,L,-18,82.4,80.2,0.79,1.04,26.0,18.6,14.3,34.3,23.9,84.6,51.8,44-41,18.3,11.2,25-77,32.5,30-70,42.9,6-20,30.0,5-13,38.5,9-11,81.8,18-24,75.0
29,2023-06-02,CHI,NYL,L,-1,74.0,75.0,1.04,1.04,26.8,38.8,9.9,10.4,28.6,90.3,57.6,38-28,17.8,14.9,30-71,42.2,31-67,46.3,11-19,57.9,9-26,34.6,5-7,71.4,6-7,85.7
30,2023-06-04,CHI,NYL,W,4,81.5,85.6,1.06,0.96,34.3,33.8,40.3,18.9,15.0,80.0,45.3,34-41,14.8,18.8,30-67,44.8,33-74,44.6,9-23,39.1,6-25,24.0,17-27,63.0,10-14,71.4
31,2023-06-06,CHI,IND,W,5,83.5,81.6,1.3,1.27,27.6,27.4,32.9,21.9,13.8,67.7,41.7,25-35,4.8,18.5,38-76,50.0,40-73,54.8,9-21,42.9,9-20,45.0,23-25,92.0,14-16,87.5
32,2023-06-09,CHI,LAS,L,-15,76.3,79.4,0.82,0.97,34.3,27.4,11.9,30.1,18.0,73.0,44.7,34-42,21.0,12.7,27-67,40.3,28-73,38.4,4-23,17.4,3-20,15.0,4-8,50.0,18-22,81.8
33,2023-06-11,CHI,LVA,L,-13,76.4,74.6,1.05,1.26,30.0,24.6,21.4,20.0,27.8,70.8,45.0,27-33,17.1,18.9,30-70,42.9,38-65,58.5,7-21,33.3,6-16,37.5,13-15,86.7,11-13,84.6
34,2023-06-15,CHI,IND,L,-2,70.9,73.5,1.29,1.26,38.2,21.9,16.2,37.5,32.1,73.1,51.8,28-26,14.3,12.3,35-68,51.5,33-64,51.6,12-26,46.2,5-14,35.7,8-11,72.7,21-24,87.5
35,2023-06-18,CHI,WAS,L,-8,76.0,71.5,0.92,1.08,32.8,23.4,23.0,40.6,29.6,84.2,61.5,40-25,26.7,7.0,27-61,44.3,25-64,39.1,6-20,30.0,5-15,33.3,9-14,64.3,22-26,84.6
36,2023-06-22,CHI,WAS,L,-21,79.0,76.2,0.76,1.05,27.9,27.5,34.4,14.5,15.0,77.4,42.2,30-41,23.1,17.1,18-61,29.5,33-69,47.8,4-17,23.5,6-19,31.6,19-21,90.5,8-10,80.0
