Team,Abbreviation
Atlanta Dream,ATL
Chicago Sky,CHI
Connecticut Sun,CON
Dallas Wings,DAL
Minnesota Lynx,MIN
Las Vegas Aces,LVA
Los Angeles Sparks,LAS
Seattle Storm,SEA
New York Liberty,NYL
Indiana Fever,IND
Washington Mystics,WAS
Phoenix Mercury,PHO
