,Date,Team,Opponent,W/L,Margin,POSS,OPP_POSS,PPP,OPP_PPP,3PA%,OPP_3PA%,FTA%,OPP_FTA%,ORB%,DRB%,REB%,REB,TO%,OPP_TO%,FGA,FG%,OPP_FGA,OPP_FG%,3PA,3P%,OPP_3PA,OPP_3P%,FTA,FT%,OPP_FTA,OPP_FT%
26,2022-07-17,ATL,PHO,W,10,72.2,72.8,1.18,1.04,32.4,46.0,19.7,31.8,45.7,75.0,60.6,43-28,19.4,18.1,34-71,47.9,26-63,41.3,10-23,43.5,8-29,27.6,7-14,50.0,15-20,75.0
27,2022-07-19,ATL,LVA,W,16,78.8,82.9,1.18,0.93,37.5,49.3,25.0,26.8,17.2,87.5,58.0,40-29,20.5,14.6,33-64,51.6,26-71,36.6,15-24,62.5,10-35,28.6,11-16,68.8,14-19,73.7
28,2022-07-21,ATL,LAS,L,-7,75.6,72.7,1.04,1.18,34.8,17.2,19.7,20.3,42.4,78.6,59.0,36-25,28.0,16.7,30-66,45.4,34-64,53.1,9-23,39.1,6-11,54.6,9-13,69.2,11-13,84.6
29,2022-07-24,ATL,SEA,L,-10,78.6,76.1,0.92,1.08,29.8,47.6,13.1,33.3,33.3,84.8,53.6,45-39,12.8,15.8,29-84,34.5,27-63,42.9,6-25,24.0,9-30,30.0,8-11,72.7,19-21,90.5
30,2022-07-28,ATL,MIN,L,-7,83.3,82.8,1.02,1.12,24.3,23.8,41.4,33.3,14.3,92.3,44.1,30-38,12.0,19.5,27-70,38.6,35-63,55.6,5-17,29.4,8-15,53.3,26-29,89.7,14-21,66.7
31,2022-07-30,ATL,DAL,L,-13,79.4,75.7,0.86,1.08,29.5,35.2,36.1,15.5,22.6,75.8,50.0,32-32,24.0,14.7,23-61,37.7,34-71,47.9,7-18,38.9,7-25,28.0,15-22,68.2,6-11,54.6
32,2022-08-03,ATL,IND,W,10,83.0,85.3,1.1,0.95,34.3,23.6,24.3,37.5,25.8,67.5,49.3,35-36,20.5,21.2,35-70,50.0,28-72,38.9,8-24,33.3,5-17,29.4,13-17,76.5,20-27,74.1
33,2022-08-05,ATL,LAS,W,2,77.2,75.5,1.14,1.15,25.8,23.3,41.9,20.6,26.7,72.7,50.8,32-31,19.5,10.7,29-62,46.8,35-73,48.0,6-16,37.5,3-17,17.6,24-26,92.3,13-15,86.7
34,2022-08-07,ATL,MIN,L,-10,70.8,73.0,1.01,1.11,34.4,39.4,31.2,10.6,25.0,79.3,49.2,32-33,14.3,17.8,25-64,39.1,31-66,47.0,7-22,31.8,12-26,46.2,14-20,70.0,7-7,100.0
35,2022-08-09,ATL,LVA,L,-7,75.8,76.2,1.2,1.28,28.8,40.3,27.3,28.4,16.1,80.0,47.5,29-32,13.3,13.2,33-66,50.0,32-67,47.8,9-19,47.4,14-27,51.8,15-18,83.3,19-19,100.0
36,2022-08-12,ATL,NYL,L,-10,74.5,75.8,0.95,1.07,29.7,24.2,37.5,27.3,22.5,81.8,49.3,36-37,16.2,14.7,24-64,37.5,31-66,47.0,5-19,26.3,4-16,25.0,17-24,70.8,14-18,77.8
37,2022-08-14,ATL,NYL,L,-4,77.4,78.4,1.08,1.12,41.9,53.3,29.7,36.7,30.2,86.2,52.8,38-34,13.0,20.5,27-74,36.5,27-60,45.0,10-31,32.3,15-32,46.9,19-22,86.4,18-22,81.8
39,2022-05-06,CHI,LAS,L,-7,91.8,87.9,1.0,1.13,31.4,29.2,21.4,50.8,17.6,75.8,46.3,31-36,27.5,23.0,36-70,51.4,32-65,49.2,7-22,31.8,7-19,36.8,12-15,80.0,27-33,81.8
40,2022-05-11,CHI,NYL,W,33,70.8,69.1,1.19,0.72,32.4,25.0,19.1,15.0,21.9,82.9,53.7,36-31,10.0,20.3,31-68,45.6,20-60,33.3,10-22,45.4,2-15,13.3,11-13,84.6,8-9,88.9
41,2022-05-14,CHI,MIN,W,4,71.8,72.1,1.15,1.08,34.8,27.1,29.0,39.0,22.2,69.0,43.1,28-37,7.0,20.8,28-69,40.6,29-59,49.2,8-24,33.3,6-16,37.5,18-20,90.0,14-23,60.9
42,2022-05-18,CHI,SEA,L,-3,74.0,77.0,0.97,0.97,26.2,40.0,10.8,20.0,25.8,64.7,46.2,30-35,23.3,21.0,30-65,46.2,29-70,41.4,6-17,35.3,8-28,28.6,5-7,71.4,8-14,57.1
43,2022-05-22,CHI,WAS,W,9,75.2,77.6,1.09,0.95,31.8,29.2,19.0,15.3,19.2,80.0,56.1,37-29,20.0,15.6,34-63,54.0,27-72,37.5,5-20,25.0,9-21,42.9,9-12,75.0,10-11,90.9
44,2022-05-24,CHI,IND,W,5,82.0,87.3,1.17,1.03,23.1,24.4,53.8,22.0,30.6,64.3,48.7,38-40,19.8,18.4,31-65,47.7,34-82,41.5,6-15,40.0,9-20,45.0,27-35,77.1,13-18,72.2
45,2022-05-28,CHI,LVA,L,-7,83.0,83.6,0.92,1.0,38.3,23.8,21.0,27.4,25.0,73.1,50.0,50-50,12.0,8.4,28-81,34.6,31-84,36.9,5-31,16.1,4-20,20.0,15-17,88.2,17-23,73.9
46,2022-05-31,CHI,PHO,W,3,77.3,75.7,0.95,0.93,28.8,35.7,25.8,15.7,18.8,85.4,56.2,41-32,16.9,13.3,27-66,40.9,28-70,40.0,5-19,26.3,8-25,32.0,14-17,82.4,6-11,54.6
